Item_Id,vtex_sku_id,status
1083546,53179,Mapped
1083550,7918,Mapped
1083695,1262,Mapped
1083696,1261,Mapped
1083699,1018,Mapped
1083950,54350,Mapped
1083954,24843,Mapped
1083955,11423,Mapped
1083956,58035,Mapped
1083961,3644,Mapped
1083962,3642,Mapped
1084036,53183,Mapped
1084037,53184,Mapped
1084046,N/A,Unmapped
1084047,N/A,Unmapped
1084048,N/A,Unmapped
1084055003,7222,Mapped
1084055004,25559,Mapped
1084057,7225,Mapped
1084483,31150,Mapped
1084484,31151,Mapped
1084485,31152,Mapped
1086048,10105,Mapped
1086688,8004,Mapped
1086693,7361,Mapped
1086694,7375,Mapped
1086695,7372,Mapped
1086696,7373,Mapped
1086931,3888,Mapped
1086932,3887,Mapped
1086945002,757,Mapped
1086945004,760,Mapped
1086947,6676,Mapped
1087132,159225,Mapped
1087133,159227,Mapped
1087387,31168,Mapped
1087390,31169,Mapped
1087423,16233,Mapped
1087429,N/A,Unmapped
1087536,9251,Mapped
1088046,8776,Mapped
108853,69210,Mapped
1088537,9512,Mapped
1088541,15769,Mapped
1088542,31172,Mapped
1088543,15770,Mapped
108939,4965,Mapped
1090192,22874,Mapped
1090193,22875,Mapped
109020,4778,Mapped
1092052,55200,Mapped
1092177,N/A,Unmapped
1092605,56847,Mapped
1092672,N/A,Unmapped
1092674,N/A,Unmapped
1092678,N/A,Unmapped
1093049,10051,Mapped
1093050,53280,Mapped
1093191,N/A,Unmapped
1093200,138267,Mapped
1093540,11372,Mapped
1093629,23550,Mapped
1093653,10152,Mapped
1094036,22461,Mapped
1094040,8585,Mapped
1094043,12592,Mapped
1094045,22462,Mapped
1094050,12591,Mapped
1094056,8582,Mapped
1094058,22463,Mapped
1094065,8124,Mapped
1094629,25427,Mapped
1095035,510,Mapped
1095051001,738,Mapped
1095051002,739,Mapped
1096085,25209,Mapped
1096140,5129,Mapped
1096141,5128,Mapped
1096144,5126,Mapped
1096146,5124,Mapped
1096147,5122,Mapped
1096148,5121,Mapped
1096154,4814,Mapped
1096726,56848,Mapped
1096852,7631,Mapped
1097189,31215,Mapped
1097204,17338,Mapped
1097205,17337,Mapped
1097206,31217,Mapped
1097566,159936,Mapped
