Item_Id,vtex_sku_id,product_name,Location_Id,unit_of_measure,hana_qty,pub_qty,unit_cost_clp,total_cost_clp,action,case_reason
2042704,N/A,Unknown Product,J796,UN,21.0,21.0,1036.0,21766.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2046075,N/A,Unknown Product,J510,UN,30.0,30.0,725.0,21763.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042841,N/A,Unknown Product,J633,UN,20.0,20.0,1088.0,21762.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2002422,N/A,Unknown Product,J762,UN,5.0,5.0,4352.0,21762.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1993289,N/A,Unknown Product,J501,UN,2.0,2.0,10881.0,21761.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1985582,134271,Pendrive Neon Celeste Kingston 64 GB,J508,UN,4.0,4.0,5440.0,21760.0,NO PUBLICAR,LISTADO BAJA
1751562,N/A,Unknown Product,J519,UN,2.0,2.0,10880.0,21760.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2044575,00002044575,CONTENEDOR CUADRAD,J780,UN,39.0,39.0,558.0,21758.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2045674,156222,Desodorante Glade Automático Repuesto Limón 170 ml,J508,UN,11.0,11.0,1978.0,21758.0,NO PUBLICAR,LISTADO BAJA
2019967,146198,Salad Kit Asiática 300 g,J510,UN,12.0,12.0,1813.0,21756.0,NO PUBLICAR,LISTADO BAJA
324252,N/A,Unknown Product,J633,UN,10.0,10.0,2176.0,21755.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1956809,131848,Galletas Cocktail Quadrelli Espelta Chia 150 g,J508,UN,14.0,14.0,1554.0,21755.0,NO PUBLICAR,LISTADO BAJA
2043710,153949,Cloro Home Care Concentrado 4 kg,J660,UN,10.0,10.0,2175.0,21754.0,NO PUBLICAR,LISTADO BAJA
2042785,N/A,Unknown Product,J989,UN,15.0,15.0,1450.0,21754.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2043710,153949,Cloro Home Care Concentrado 4 kg,J510,UN,10.0,10.0,2175.0,21754.0,NO PUBLICAR,LISTADO BAJA
2042785,N/A,Unknown Product,J520,UN,15.0,15.0,1450.0,21753.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1629641,N/A,Unknown Product,J748,UN,7.0,7.0,3107.0,21752.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2051286,N/A,Unknown Product,J614,UN,7.0,7.0,3107.0,21752.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2051286,N/A,Unknown Product,J512,UN,7.0,7.0,3107.0,21752.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2051286,N/A,Unknown Product,J796,UN,7.0,7.0,3107.0,21752.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1120364,N/A,Unknown Product,J614,UN,1.0,1.0,21751.0,21751.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2046172,N/A,Unknown Product,J512,UN,14.0,14.0,1554.0,21749.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2040520,N/A,Unknown Product,J532,UN,27.0,27.0,805.0,21748.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042640,N/A,Unknown Product,J619,UN,23.0,23.0,946.0,21747.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2046735,N/A,Unknown Product,J780,UN,12.0,12.0,1812.0,21746.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2046735,N/A,Unknown Product,J989,UN,12.0,12.0,1812.0,21746.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042636,N/A,Unknown Product,J659,UN,28.0,28.0,777.0,21742.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2022931,N/A,Unknown Product,J660,UN,6.0,6.0,3624.0,21741.0,NO PUBLICAR,JERARQUIA DESHABILITADA
